"customer_id","first_name","last_name","amount","payment_date","running_total"
1,"MARY","SMITH","2.99","2007-01-25 09:59:03","2.99"
1,"MARY","SMITH","0.99","2007-01-28 09:03:49","3.98"
1,"MARY","SMITH","5.99","2007-02-14 23:22:38","9.97"
1,"MARY","SMITH","0.99","2007-02-15 16:31:19","10.96"
1,"MARY","SMITH","9.99","2007-02-15 19:37:12","20.95"
1,"MARY","SMITH","4.99","2007-02-16 13:47:23","25.94"
1,"MARY","SMITH","4.99","2007-02-18 07:10:14","30.93"
1,"MARY","SMITH","0.99","2007-02-18 12:02:25","31.92"
1,"MARY","SMITH","3.99","2007-02-21 04:53:11","35.91"
1,"MARY","SMITH","4.99","2007-03-01 07:19:30","40.90"
1,"MARY","SMITH","3.99","2007-03-02 14:05:18","44.89"
1,"MARY","SMITH","0.99","2007-03-02 16:30:04","45.88"
1,"MARY","SMITH","4.99","2007-03-17 11:06:20","50.87"
1,"MARY","SMITH","0.99","2007-03-18 02:25:55","51.86"
1,"MARY","SMITH","0.99","2007-03-19 08:23:42","52.85"
1,"MARY","SMITH","2.99","2007-03-19 12:25:20","55.84"
1,"MARY","SMITH","0.99","2007-03-21 22:02:23","56.83"
1,"MARY","SMITH","1.99","2007-03-21 23:56:23","58.82"
1,"MARY","SMITH","2.99","2007-03-22 18:10:03","61.81"
1,"MARY","SMITH","5.99","2007-03-22 18:32:12","67.80"
1,"MARY","SMITH","5.99","2007-04-08 01:45:31","73.79"
1,"MARY","SMITH","5.99","2007-04-08 06:02:22","79.78"
1,"MARY","SMITH","4.99","2007-04-09 11:52:33","84.77"
1,"MARY","SMITH","4.99","2007-04-09 15:06:27","89.76"
1,"MARY","SMITH","7.99","2007-04-11 08:42:12","97.75"
1,"MARY","SMITH","2.99","2007-04-27 09:59:48","100.74"
1,"MARY","SMITH","4.99","2007-04-28 07:33:11","105.73"
1,"MARY","SMITH","4.99","2007-04-28 14:46:49","110.72"
1,"MARY","SMITH","0.99","2007-04-28 16:02:05","111.71"
1,"MARY","SMITH","0.99","2007-04-28 17:48:33","112.70"
1,"MARY","SMITH","2.99","2007-04-29 02:27:15","115.69"
1,"MARY","SMITH","2.99","2007-04-30 01:10:44","118.68"
2,"PATRICIA","JOHNSON","4.99","2007-01-26 22:37:50","4.99"
2,"PATRICIA","JOHNSON","2.99","2007-02-17 19:23:24","7.98"
2,"PATRICIA","JOHNSON","0.99","2007-03-01 08:13:52","8.97"
2,"PATRICIA","JOHNSON","0.99","2007-03-02 00:39:22","9.96"
2,"PATRICIA","JOHNSON","5.99","2007-03-02 06:10:07","15.95"
2,"PATRICIA","JOHNSON","6.99","2007-03-02 09:12:14","22.94"
2,"PATRICIA","JOHNSON","2.99","2007-03-02 12:13:19","25.93"
2,"PATRICIA","JOHNSON","2.99","2007-03-17 02:20:44","28.92"
2,"PATRICIA","JOHNSON","2.99","2007-03-19 04:54:30","31.91"
2,"PATRICIA","JOHNSON","4.99","2007-03-21 11:52:58","36.90"
2,"PATRICIA","JOHNSON","5.99","2007-03-21 21:10:22","42.89"
2,"PATRICIA","JOHNSON","4.99","2007-03-22 12:21:30","47.88"
2,"PATRICIA","JOHNSON","4.99","2007-03-23 16:08:01","52.87"
2,"PATRICIA","JOHNSON","2.99","2007-04-10 04:59:50","55.86"
2,"PATRICIA","JOHNSON","6.99","2007-04-10 11:07:22","62.85"
2,"PATRICIA","JOHNSON","4.99","2007-04-27 12:59:08","67.84"
2,"PATRICIA","JOHNSON","5.99","2007-04-27 13:51:28","73.83"
2,"PATRICIA","JOHNSON","5.99","2007-04-27 17:08:46","79.82"
2,"PATRICIA","JOHNSON","5.99","2007-04-28 22:41:25","85.81"
2,"PATRICIA","JOHNSON","2.99","2007-04-29 11:25:25","88.80"
2,"PATRICIA","JOHNSON","5.99","2007-04-29 15:42:55","94.79"
2,"PATRICIA","JOHNSON","4.99","2007-04-30 04:34:36","99.78"
2,"PATRICIA","JOHNSON","10.99","2007-04-30 12:16:09","110.77"
2,"PATRICIA","JOHNSON","0.99","2007-04-30 12:42:37","111.76"
2,"PATRICIA","JOHNSON","6.99","2007-04-30 14:49:39","118.75"
2,"PATRICIA","JOHNSON","2.99","2007-04-30 20:27:22","121.74"
2,"PATRICIA","JOHNSON","6.99","2007-04-30 21:08:19","128.73"
3,"LINDA","WILLIAMS","1.99","2007-01-27 15:45:35","1.99"
3,"LINDA","WILLIAMS","2.99","2007-01-29 21:12:21","4.98"
3,"LINDA","WILLIAMS","8.99","2007-02-16 00:02:31","13.97"
3,"LINDA","WILLIAMS","6.99","2007-02-16 13:47:36","20.96"
3,"LINDA","WILLIAMS","6.99","2007-02-17 03:43:41","27.95"
3,"LINDA","WILLIAMS","2.99","2007-02-19 07:03:19","30.94"
3,"LINDA","WILLIAMS","5.99","2007-03-01 12:48:14","36.93"
3,"LINDA","WILLIAMS","4.99","2007-03-18 13:18:21","41.92"
3,"LINDA","WILLIAMS","8.99","2007-03-19 20:46:33","50.91"
3,"LINDA","WILLIAMS","2.99","2007-03-20 04:42:38","53.90"
3,"LINDA","WILLIAMS","8.99","2007-03-21 19:19:14","62.89"
3,"LINDA","WILLIAMS","0.99","2007-03-22 08:05:53","63.88"
3,"LINDA","WILLIAMS","2.99","2007-03-23 05:38:40","66.87"
3,"LINDA","WILLIAMS","4.99","2007-04-07 08:51:51","71.86"
3,"LINDA","WILLIAMS","4.99","2007-04-08 11:15:37","76.85"
3,"LINDA","WILLIAMS","5.99","2007-04-27 03:23:08","82.84"
3,"LINDA","WILLIAMS","10.99","2007-04-27 18:51:38","93.83"
3,"LINDA","WILLIAMS","7.99","2007-04-28 02:27:47","101.82"
3,"LINDA","WILLIAMS","6.99","2007-04-28 03:14:56","108.81"
3,"LINDA","WILLIAMS","4.99","2007-04-28 10:15:11","113.80"
3,"LINDA","WILLIAMS","4.99","2007-04-28 16:45:40","118.79"
3,"LINDA","WILLIAMS","2.99","2007-04-29 09:35:30","121.78"
3,"LINDA","WILLIAMS","2.99","2007-04-30 01:56:24","124.77"
3,"LINDA","WILLIAMS","4.99","2007-04-30 10:01:24","129.76"
3,"LINDA","WILLIAMS","1.99","2007-04-30 11:59:46","131.75"
3,"LINDA","WILLIAMS","3.99","2007-04-30 20:14:12","135.74"
4,"BARBARA","JONES","4.99","2007-02-15 07:59:54","4.99"
4,"BARBARA","JONES","0.99","2007-02-16 06:37:06","5.98"
4,"BARBARA","JONES","2.99","2007-02-16 12:29:53","8.97"
4,"BARBARA","JONES","0.99","2007-02-16 14:20:18","9.96"
4,"BARBARA","JONES","0.99","2007-02-17 12:59:38","10.95"
4,"BARBARA","JONES","5.99","2007-02-19 08:07:27","16.94"
4,"BARBARA","JONES","0.99","2007-03-02 05:38:00","17.93"
4,"BARBARA","JONES","2.99","2007-03-02 06:48:57","20.92"
4,"BARBARA","JONES","4.99","2007-03-16 22:56:27","25.91"
4,"BARBARA","JONES","2.99","2007-03-17 22:42:29","28.90"
4,"BARBARA","JONES","8.99","2007-03-18 03:43:10","37.89"
4,"BARBARA","JONES","1.99","2007-03-19 00:47:39","39.88"
4,"BARBARA","JONES","2.99","2007-03-20 08:00:30","42.87"
4,"BARBARA","JONES","6.99","2007-03-20 11:24:06","49.86"
4,"BARBARA","JONES","4.99","2007-03-21 03:22:03","54.85"
4,"BARBARA","JONES","2.99","2007-03-22 12:26:49","57.84"
4,"BARBARA","JONES","1.99","2007-03-23 06:11:26","59.83"
4,"BARBARA","JONES","2.99","2007-04-28 00:38:36","62.82"
4,"BARBARA","JONES","2.99","2007-04-28 03:06:25","65.81"
4,"BARBARA","JONES","3.99","2007-04-29 17:13:23","69.80"
4,"BARBARA","JONES","5.99","2007-04-30 07:14:35","75.79"
4,"BARBARA","JONES","5.99","2007-04-30 17:26:26","81.78"
5,"ELIZABETH","BROWN","0.99","2007-01-29 05:53:42","0.99"
